GSID,Name,Type,GradeRange,Enrollment,Gsrating,ParentRating,City,State,DistrictId,District,DistrictNCESID,Address,Phone,fax,Website,ncesid,Lat,Long,OverviewLink,RatingLink,ReviewLink,SchoolStatLink,
5661,ACAD OF ENVT SCI/MATH ELEM,public,PK-5,290,2,,Saint Louis,MO,458,St. Louis City School District,2929280,"3325 Bell Avenue, \nSaint Louis, MO  63106",(314) 932-1464,,,292928003211,38.64222,-90.22613,https://www.greatschools.org/missouri/saint-louis/5661-ACAD-OF-ENVT-SCI-MATH-ELEM/?utm_source=GSAPI&amp;utm_medium=referral,https://www.greatschools.org/missouri/saint-louis/5661-ACAD-OF-ENVT-SCI-MATH-ELEM/?utm_source=GSAPI&amp;utm_medium=referral,https://www.greatschools.org/missouri/saint-louis/5661-ACAD-OF-ENVT-SCI-MATH-ELEM/?utm_source=GSAPI&amp;utm_medium=referral#Reviews,https://www.greatschools.org/missouri/saint-louis/5661-ACAD-OF-ENVT-SCI-MATH-ELEM/?utm_source=GSAPI&amp;utm_medium=referral,</school><school>
3031,Adams Elementary School,public,PK-6,301,2,3,Saint Louis,MO,458,St. Louis City School District,2929280,"1311 Tower Grove Ave, \nSaint Louis, MO  63110",(314) 535-3910,(314) 535-3949,www.SLPS.org/Adams,292928002789,38.6247,-90.2567,https://www.greatschools.org/missouri/saint-louis/3031-Adams-Elementary-School/?utm_source=GSAPI&amp;utm_medium=referral,https://www.greatschools.org/missouri/saint-louis/3031-Adams-Elementary-School/?utm_source=GSAPI&amp;utm_medium=referral,https://www.greatschools.org/missouri/saint-louis/3031-Adams-Elementary-School/?utm_source=GSAPI&amp;utm_medium=referral#Reviews,https://www.greatschools.org/missouri/saint-louis/3031-Adams-Elementary-School/?utm_source=GSAPI&amp;utm_medium=referral,</school><school>
2077,Ames Visual/Perf. Arts,public,PK-5,402,4,4,Saint Louis,MO,458,St. Louis City School District,2929280,"2900 Hadley Street, \nSaint Louis, MO  63107",(314) 241-7165,(314) 231-1607,,292928002570,38.652905,-90.19539,https://www.greatschools.org/missouri/saint-louis/2077-Ames-Visual-Perf.-Arts/?utm_source=GSAPI&amp;utm_medium=referral,https://www.greatschools.org/missouri/saint-louis/2077-Ames-Visual-Perf.-Arts/?utm_source=GSAPI&amp;utm_medium=referral,https://www.greatschools.org/missouri/saint-louis/2077-Ames-Visual-Perf.-Arts/?utm_source=GSAPI&amp;utm_medium=referral#Reviews,https://www.greatschools.org/missouri/saint-louis/2077-Ames-Visual-Perf.-Arts/?utm_source=GSAPI&amp;utm_medium=referral,</school><school>
3299,Arrowpoint Elementary School,public,PK-5,565,1,3,Saint Louis,MO,194,Hazelwood School District,2913830,"2017 Arrowpoint Drive, \nSaint Louis, MO  63138",(314) 953-5300,(314) 953-5313,http://www.hazelwoodschools.org/arrowpoint,291383002858,38.81229,-90.22734,https://www.greatschools.org/missouri/saint-louis/3299-Arrowpoint-Elementary-School/?utm_source=GSAPI&amp;utm_medium=referral,https://www.greatschools.org/missouri/saint-louis/3299-Arrowpoint-Elementary-School/?utm_source=GSAPI&amp;utm_medium=referral,https://www.greatschools.org/missouri/saint-louis/3299-Arrowpoint-Elementary-School/?utm_source=GSAPI&amp;utm_medium=referral#Reviews,https://www.greatschools.org/missouri/saint-louis/3299-Arrowpoint-Elementary-School/?utm_source=GSAPI&amp;utm_medium=referral,</school><school>
1989,Ashland Elementary And Br.,public,PK-6,334,1,3,Saint Louis,MO,458,St. Louis City School District,2929280,"3921 North Newstead Avenue, \nSaint Louis, MO  63115",(314) 385-4767,(314) 385-6129,,292928001877,38.67151,-90.235985,https://www.greatschools.org/missouri/saint-louis/1989-Ashland-Elementary-And-Br./?utm_source=GSAPI&amp;utm_medium=referral,https://www.greatschools.org/missouri/saint-louis/1989-Ashland-Elementary-And-Br./?utm_source=GSAPI&amp;utm_medium=referral,https://www.greatschools.org/missouri/saint-louis/1989-Ashland-Elementary-And-Br./?utm_source=GSAPI&amp;utm_medium=referral#Reviews,https://www.greatschools.org/missouri/saint-louis/1989-Ashland-Elementary-And-Br./?utm_source=GSAPI&amp;utm_medium=referral,</school><school>
5597,Barack Obama Elementary School,public,1-6,427,3,,Saint Louis,MO,334,Normandy School District,2922650,"3883 Jennings Station Road, \nSaint Louis, MO  63121",(314) 493-0850,,http://www.normandysd.org,292265003189,38.69338,-90.27738,https://www.greatschools.org/missouri/saint-louis/5597-Barack-Obama-Elementary-School/?utm_source=GSAPI&amp;utm_medium=referral,https://www.greatschools.org/missouri/saint-louis/5597-Barack-Obama-Elementary-School/?utm_source=GSAPI&amp;utm_medium=referral,https://www.greatschools.org/missouri/saint-louis/5597-Barack-Obama-Elementary-School/?utm_source=GSAPI&amp;utm_medium=referral#Reviews,https://www.greatschools.org/missouri/saint-louis/5597-Barack-Obama-Elementary-School/?utm_source=GSAPI&amp;utm_medium=referral,</school><school>
178,Bayless Elementary School,public,PK-5,809,5,4,Saint Louis,MO,31,Bayless School District,2904500,"4531 Weber Road, \nSaint Louis, MO  63123",(314) 256-8620,(314) 544-6315,http://baylessk12.org,290450000043,38.55298,-90.30062,https://www.greatschools.org/missouri/saint-louis/178-Bayless-Elementary-School/?utm_source=GSAPI&amp;utm_medium=referral,https://www.greatschools.org/missouri/saint-louis/178-Bayless-Elementary-School/?utm_source=GSAPI&amp;utm_medium=referral,https://www.greatschools.org/missouri/saint-louis/178-Bayless-Elementary-School/?utm_source=GSAPI&amp;utm_medium=referral#Reviews,https://www.greatschools.org/missouri/saint-louis/178-Bayless-Elementary-School/?utm_source=GSAPI&amp;utm_medium=referral,</school><school>
1211,Beasley Elementary School,public,K-5,412,4,4,Saint Louis,MO,294,Mehlville R-Ix School District,2920670,"3131 Koch Road, \nSaint Louis, MO  63125",(314) 467-5400,(314) 467-5499,,292067001109,38.496372,-90.28711,https://www.greatschools.org/missouri/saint-louis/1211-Beasley-Elementary-School/?utm_source=GSAPI&amp;utm_medium=referral,https://www.greatschools.org/missouri/saint-louis/1211-Beasley-Elementary-School/?utm_source=GSAPI&amp;utm_medium=referral,https://www.greatschools.org/missouri/saint-louis/1211-Beasley-Elementary-School/?utm_source=GSAPI&amp;utm_medium=referral#Reviews,https://www.greatschools.org/missouri/saint-louis/1211-Beasley-Elementary-School/?utm_source=GSAPI&amp;utm_medium=referral,</school><school>
571,Bermuda Elementary School,public,K-5,275,1,3,Saint Louis,MO,152,Ferguson-Florissant R-Ii School District,2912010,"5835 Bermuda Drive, \nSaint Louis, MO  63121",(314) 524-4821,(314) 524-4827,http://www.edline.net/pages/Bermuda_Elementary,291201000452,38.72687,-90.294365,https://www.greatschools.org/missouri/saint-louis/571-Bermuda-Elementary-School/?utm_source=GSAPI&amp;utm_medium=referral,https://www.greatschools.org/missouri/saint-louis/571-Bermuda-Elementary-School/?utm_source=GSAPI&amp;utm_medium=referral,https://www.greatschools.org/missouri/saint-louis/571-Bermuda-Elementary-School/?utm_source=GSAPI&amp;utm_medium=referral#Reviews,https://www.greatschools.org/missouri/saint-louis/571-Bermuda-Elementary-School/?utm_source=GSAPI&amp;utm_medium=referral,</school><school>
1213,Bierbaum Elementary School,public,K-5,648,3,4,Saint Louis,MO,294,Mehlville R-Ix School District,2920670,"2050 Union Road, \nSaint Louis, MO  63125",(314) 467-5500,(314) 467-5599,www.bierbaum.org,292067001111,38.530216,-90.30976,https://www.greatschools.org/missouri/saint-louis/1213-Bierbaum-Elementary-School/?utm_source=GSAPI&amp;utm_medium=referral,https://www.greatschools.org/missouri/saint-louis/1213-Bierbaum-Elementary-School/?utm_source=GSAPI&amp;utm_medium=referral,https://www.greatschools.org/missouri/saint-louis/1213-Bierbaum-Elementary-School/?utm_source=GSAPI&amp;utm_medium=referral#Reviews,https://www.greatschools.org/missouri/saint-louis/1213-Bierbaum-Elementary-School/?utm_source=GSAPI&amp;utm_medium=referral,</school><school>
