Neighborhoods,Year Built,Years Vacant
Old North St. Louis,1903,8
Old North St. Louis,1892,1
Old North St. Louis,1892,5
Old North St. Louis,1892,4
Old North St. Louis,1892,8
Old North St. Louis,1880,5
Old North St. Louis,1903,5
Old North St. Louis,1903,9
Old North St. Louis,1903,23
Soulard,1897,4
Soulard,1885,9
Soulard,1881,15
Peabody Darst Webbe,1886,11
Peabody Darst Webbe,1886,11
Peabody Darst Webbe,1913,24
Peabody Darst Webbe,1895,8
Old North St. Louis,1885,17
Old North St. Louis,0,3
Old North St. Louis,1890,5
Old North St. Louis,1908,17
Old North St. Louis,1908,18
Old North St. Louis,1898,11
Old North St. Louis,1907,16
Old North St. Louis,1892,25
Old North St. Louis,1893,23
Old North St. Louis,1893,6
Old North St. Louis,1880,28
Old North St. Louis,1893,17
Old North St. Louis,1906,9
Old North St. Louis,1909,21
Old North St. Louis,1885,25
Old North St. Louis,1885,5
Soulard,1881,22
Soulard,1885,24
Soulard,1885,24
Soulard,1885,7
Soulard,1885,5
Soulard,1892,1
Soulard,1892,3
Soulard,1860,23
Jeff Vanderlou,1886,7
Jeff Vanderlou,1895,10
Jeff Vanderlou,1885,14
Jeff Vanderlou,1886,23
Jeff Vanderlou,1890,10
Jeff Vanderlou,1888,11
Jeff Vanderlou,1888,17
Jeff Vanderlou,1886,10
Jeff Vanderlou,1888,21
Jeff Vanderlou,1888,9
Jeff Vanderlou,1888,15
Jeff Vanderlou,1890,7
Jeff Vanderlou,1890,17
Jeff Vanderlou,1885,24
Jeff Vanderlou,1898,18
Jeff Vanderlou,1884,6
Jeff Vanderlou,1884,6
Jeff Vanderlou,1891,6
Jeff Vanderlou,1888,6
Jeff Vanderlou,1889,6
Jeff Vanderlou,1890,6
Jeff Vanderlou,1890,13
Jeff Vanderlou,1890,18
Jeff Vanderlou,1885,18
Jeff Vanderlou,1890,8
Jeff Vanderlou,1890,9
Jeff Vanderlou,1890,21
Jeff Vanderlou,1890,19
Jeff Vanderlou,1890,22
Jeff Vanderlou,1880,7
Jeff Vanderlou,1880,6
Jeff Vanderlou,1886,6
Jeff Vanderlou,1890,8
Jeff Vanderlou,1880,4
Jeff Vanderlou,1880,2
Jeff Vanderlou,1880,6
Jeff Vanderlou,1971,8
Jeff Vanderlou,1883,1
Jeff Vanderlou,1980,16
Jeff Vanderlou,1980,8
St. Louis Place,1971,6
St. Louis Place,1971,6
St. Louis Place,1894,10
St. Louis Place,1894,10
St. Louis Place,1900,10
St. Louis Place,1900,4
St. Louis Place,1971,10
St. Louis Place,1905,9
St. Louis Place,1909,17
St. Louis Place,1909,9
St. Louis Place,1892,18
St. Louis Place,1972,4
St. Louis Place,1972,10
St. Louis Place,1892,23
St. Louis Place,1883,11
St. Louis Place,1883,11
St. Louis Place,1887,11
St. Louis Place,1909,3
St. Louis Place,1896,6
St. Louis Place,1885,6
St. Louis Place,1879,3
St. Louis Place,1894,16
St. Louis Place,1893,14
St. Louis Place,1971,13
St. Louis Place,1891,10
St. Louis Place,1971,3
St. Louis Place,1887,4
St. Louis Place,1972,3
St. Louis Place,1887,10
St. Louis Place,1887,19
St. Louis Place,1884,11
St. Louis Place,1895,7
St. Louis Place,1893,28
St. Louis Place,1906,10
St. Louis Place,1908,20
St. Louis Place,1882,13
St. Louis Place,1888,4
St. Louis Place,1889,3
St. Louis Place,1909,15
St. Louis Place,1890,19
St. Louis Place,1881,13
St. Louis Place,1881,16
St. Louis Place,1881,5
St. Louis Place,1897,4
St. Louis Place,1891,19
St. Louis Place,1891,5
Old North St. Louis,1906,3
Old North St. Louis,1890,5
Old North St. Louis,1874,5
Old North St. Louis,1890,9
Old North St. Louis,1890,5
Old North St. Louis,1900,3
Old North St. Louis,1882,13
Old North St. Louis,1896,6
Old North St. Louis,1906,22
Old North St. Louis,1873,18
Old North St. Louis,1893,23
Old North St. Louis,1893,11
Old North St. Louis,1894,4
Old North St. Louis,1891,29
Old North St. Louis,1887,4
Old North St. Louis,1885,21
Old North St. Louis,1895,26
Old North St. Louis,1895,26
Old North St. Louis,1895,17
Old North St. Louis,1885,19
Old North St. Louis,1886,28
Old North St. Louis,1885,8
Hyde Park,1899,20
Hyde Park,1885,20
Hyde Park,1886,17
Hyde Park,1885,25
Hyde Park,1887,20
Hyde Park,1880,3
Hyde Park,1890,24
Hyde Park,1885,29
Hyde Park,1885,14
Hyde Park,1880,8
Hyde Park,1880,5
Hyde Park,1931,10
Hyde Park,1931,5
Hyde Park,1931,10
Hyde Park,1899,29
Hyde Park,1882,16
Hyde Park,1896,19
Hyde Park,1893,29
Hyde Park,1893,5
Hyde Park,1885,5
Hyde Park,1894,12
Hyde Park,1922,17
Hyde Park,1923,5
Hyde Park,1925,10
Hyde Park,1925,12
Hyde Park,1925,11
Hyde Park,1925,10
Hyde Park,1925,12
Hyde Park,1925,9
Hyde Park,1890,22
Hyde Park,1890,10
Hyde Park,1892,13
Hyde Park,1890,12
Hyde Park,1890,8
Hyde Park,1933,13
Hyde Park,1892,11
Hyde Park,1892,8
Hyde Park,1909,5
Hyde Park,1890,6
Hyde Park,1890,21
Hyde Park,1890,15
Hyde Park,1909,11
Hyde Park,2006,6
Hyde Park,1890,4
Hyde Park,1890,4
Hyde Park,1890,5
Hyde Park,1890,12
Hyde Park,1884,24
Hyde Park,1884,24
Hyde Park,1886,11
Hyde Park,1902,19
Hyde Park,1897,19
Hyde Park,1885,25
Hyde Park,1884,11
Near North Riverfront,1926,1
Near North Riverfront,1890,9
Hyde Park,1885,22
Hyde Park,1885,22
Hyde Park,1885,5
Hyde Park,1889,14
Hyde Park,1895,17
Hyde Park,1884,16
Hyde Park,1880,25
Hyde Park,1880,27
Hyde Park,1879,11
Hyde Park,1890,15
Hyde Park,1880,8
Hyde Park,1966,12
Hyde Park,1903,10
Hyde Park,1890,25
Hyde Park,1893,4
Hyde Park,1891,28
Hyde Park,1892,28
Hyde Park,1889,15
Jeff Vanderlou,1888,5
Jeff Vanderlou,1893,10
Jeff Vanderlou,1895,11
The Gate District,1897,3
The Gate District,1897,3
The Gate District,1895,24
The Gate District,1890,14
